"i","pi","accuracy"
2e+07,3.141727,0.0042763790542244
1000,3.204,1.98648753328654
2000,3.11,-1.0056253968411
3000,3.15333333333333,0.373717443288668
4000,3.107,-1.10111836269623
5000,3.1272,-0.458132392604971
6000,3.17933333333333,1.20132314736652
7000,3.14171428571429,0.00387167077036121
8000,3.175,1.06338886335353
9000,3.14133333333333,-0.00825442013189237
10000,3.1264,-0.483597183499684
11000,3.13781818181818,-0.120145168002561
12000,3.139,-0.0825267269081165
13000,3.15261538461538,0.350864425819064
14000,3.128,-0.432667601710268
15000,3.1728,0.993360688393108
16000,3.123,-0.591822544802167
17000,3.13411764705882,-0.237936847809594
18000,3.15088888888889,0.295908359999286
19000,3.13642105263158,-0.164617171239712
20000,3.1362,-0.171653495039559
21000,3.13390476190476,-0.244713192725565
22000,3.13890909090909,-0.0854204531461344
23000,3.14086956521739,-0.023016617752003
24000,3.11966666666667,-0.697925840196767
25000,3.14224,0.0206056762154461
26000,3.16015384615385,0.590821109249928
27000,3.1402962962963,-0.0412643342546537
28000,3.149,0.235783159275682
29000,3.14827586206897,0.212733133034781
30000,3.14613333333333,0.144534325236334
31000,3.13625806451613,-0.169805244087529
32000,3.13775,-0.122315462681077
33000,3.14157575757576,-0.000537816830459281
34000,3.14305882352941,0.0466696386606014
35000,3.16057142857143,0.604113170431209
36000,3.14066666666667,-0.0294750792108056
37000,3.1452972972973,0.117922471688714
38000,3.14684210526316,0.167095236467607
39000,3.14010256410256,-0.0474310215083595
40000,3.1367,-0.155738000730377
41000,3.14868292682927,0.225690406786927
42000,3.13361904761905,-0.253807760902236
43000,3.14706976744186,0.174341948686729
44000,3.13354545454545,-0.256150301190172
45000,3.14133333333333,-0.00825442013189237
46000,3.14139130434783,-0.00640914542937576
47000,3.13855319148936,-0.0967490835248275
48000,3.14458333333333,0.0951962928778416
49000,3.13681632653061,-0.152035212258439
50000,3.15128,0.308357813325588
51000,3.14274509803922,0.0366834461528853
52000,3.13138461538462,-0.324931947924989
53000,3.15539622641509,0.439381369495129
54000,3.14140740740741,-0.00589656912312053
55000,3.15185454545455,0.326646163149968
56000,3.13257142857143,-0.287154510883403
57000,3.13431578947368,-0.231629778857356
58000,3.14365517241379,0.0656520132119365
59000,3.14149152542373,-0.00321900950298604
60000,3.13613333333333,-0.173775560947453
61000,3.13560655737705,-0.190543360416373
62000,3.13761290322581,-0.126679388540052
63000,3.14019047619048,-0.0446326928386087
64000,3.1459375,0.138300756631904
65000,3.12695384615385,-0.465967712880277
66000,3.15654545454545,0.47596243703254
67000,3.14017910447761,-0.04499466570137
68000,3.14835294117647,0.215186637228504
69000,3.13698550724638,-0.146650022820494
70000,3.14782857142857,0.1984954297513
71000,3.14416901408451,0.0820081015840746
72000,3.13511111111111,-0.20631390486846
73000,3.14580821917808,0.134185620260863
74000,3.13616216216216,-0.17285791082513
75000,3.13466666666667,-0.220461010921091
76000,3.13410526315789,-0.238331039619111
77000,3.14379220779221,0.0700139847825687
78000,3.14041025641026,-0.0376368711642372
79000,3.13782278481013,-0.119998650218345
80000,3.1393,-0.0729774303225961
81000,3.13733333333333,-0.135578374605405
82000,3.14536585365854,0.120104688443035
83000,3.14293975903614,0.0428796981305712
84000,3.14314285714286,0.0493445116537483
85000,3.14404705882353,0.0781261450599535
86000,3.1506976744186,0.289821814372004
87000,3.13885057471264,-0.0872830815292325
88000,3.13009090909091,-0.366111898235477
89000,3.13420224719101,-0.235243941964813
90000,3.14151111111111,-0.00259557771085106
91000,3.13810989010989,-0.110859804689289
92000,3.1455652173913,0.126450633151687
93000,3.13574193548387,-0.186234141438946
94000,3.14936170212766,0.247296495584459
95000,3.14189473684211,0.00961560856616028
96000,3.14216666666667,0.0182714037167742
97000,3.14325773195876,0.0530010906113709
98000,3.15,0.267614147894069
99000,3.14424242424242,0.0843448194852048
1e+05,3.14564,0.128831037517929
1e+05,3.1456,0.127557797973199
131034.482758621,3.14918631578947,0.241713775049845
162068.965517241,3.13710893617021,-0.142721158150705
193103.448275862,3.14016142857143,-0.0455573072699056
224137.931034483,3.14577723076923,0.133199228571401
255172.413793103,3.14052756756757,-0.0339027410510506
